X,Y,objectid,cenefa,zona_sitp,nombre,via,direccion_bandera,localidad,longitud,latitud,consecutivo_zona,tipo_m_s,consola,panel,audio,zonas_nuevas,globalid,shape
991958.7535,1010691.0632,6114,475A06,06,Br. El Refugio,CL 23B,CL 23B - KR 121,Fontibón,-74.149985,4.692877,475,S,CL 23B - KR 121 (475A06),CL 23B - KR 121,Calle 23 Be Carrera 121,K,{9D0AA197-49D6-43AE-ADCA-2D151215EC0A},
995048.4116,1002284.4343,6115,475A08,08,Urbanización Chamicera,KR  56,KR 56 - CL 2,Puente Aranda,-74.12213262,4.6168574,475,S,KR 56 - CL 2 (475A08),KR 56 - CL 2,Carrera 56 Calle Segunda,F,{31100A06-0EE4-47DD-98C2-E88637F4EBAC},
989441.0121,997501.589600001,6116,475A11,11,Br. Caracolí,Cl 76A S,CL 76A Sur - KR 73I,Ciudad Bolívar,-74.17266185,4.57360068,475,S,CL 76A Sur - KR 73I (475A11),CL 76A Sur - KR 73I,Calle 76 A Sur Carrera 73 I,H,{DCC06AD1-5D09-46DF-8CBD-02866A803D38},
995250.8825,991966.7788,6117,475A12,12,Br. Cartagena,KR 3,KR 3 - CL 69D Sur,Usme,-74.12030238,4.52355376,475,S,KR 3 - CL 69D Sur (475A12),KR 3 - CL 69D Sur,Carrera Tercera Calle 69 D Sur,H,{76FDDEE2-CDEC-460C-98C8-5F71B3C163AC},
1000103.8517,998470.8049,6118,475A13,13,Br. Ramírez,KR 1A Este,KR 1A Este - CL 1BisD,Santa Fe,-74.07657203,4.58237173,475,S,KR 1A Este - CL 1BisD (475A13),KR 1A Este - CL 1BisD,Carrera Primera A Este Calle Primera Bis D,L,{308D6D8B-662E-44CE-B328-8094483C8173},
1005804.8895,1018781.6942,6119,476A01,01,Br. Buenavista,KR 5,KR 5 - CL 189,Usaquén,-74.02518199,4.76604297,476,S,KR 5 - CL 189 (476A01),KR 5 - CL 189,Carrera Quinta Calle 189,B,{9A8F0FC5-643F-4778-AD37-F1EB5AE36885},
1000376.775,1015695.7391,6120,476A03,03,Br. Casa Blanca I,KR  76,KR 76 - CL 146C,Suba,-74.07411176,4.73813844,476,S,KR 76 - CL 146C (476A03),KR 76 - CL 146C,Carrera 76 Calle 146 C,C,{8EBBA290-FCD7-44E7-B319-2D875DE84D7D},
994322.2449,1011271.9815,6121,476A05,05,Br. El Muelle I,AC 63,AC 63 - KR 105G,Engativá,-74.12868285,4.69813218,476,S,AC 63 - KR 105G (476A05),AC 63 - KR 105G,Avenida Calle 63 Carrera 105 G,D,{94898C16-7284-48BA-985B-3E71D014F278},
991639.7947,1010869.9076,6122,476A06,06,Pq. la Esperanza,KR 124A,KR 124A - CL 22K,Fontibón,-74.15286,4.694494,476,S,KR 124A - CL 22K (476A06),KR 124A - CL 22K,Carrera 124 A Calle 22 K,K,{9E731C96-144B-4C2A-BD05-FD29B7A354E9},
995157.0146,1001813.4857,6123,476A08,08,Br. La Camelia,Tv  53,TV 53 - CL 1,Puente Aranda,-74.12115361,4.61259863,476,S,TV 53 - CL 1  (476A08),TV 53 - CL 1,Transversal 53 Calle Primera,F,{17F11244-1857-4CA8-96AA-CAF94DEF07B6},
989470.5046,997488.16,6124,476A11,11,Br. Caracolí,Cl 76A S,CL 76A Sur - KR 73HBis,Ciudad Bolívar,-74.17239606,4.57347927,476,S,CL 76A Sur - KR 73HBis (476A11),CL 76A Sur - KR 73HBis,Calle 76 A Sur Carrera 73 HBis,H,{91E5D77A-512C-48E2-B374-F3C3A142E243},
995803.1488,991068.407299999,6125,476A12,12,Br. Santa Librada,CL 74C,CL 74C Sur - KR 12,Usme,-74.11532547,4.51542995,476,S,CL 74C Sur - KR 12 (476A12),CL 74C Sur - KR 12,Calle 74 C Sur Carrera 12,0,{B58A390E-39D2-48DC-B94D-480D2F9EB25A},
1000199.595,998701.5473,6126,476A13,13,Br. Ramírez,KR 1A Este,KR 1A Este - CL 1C,Santa Fe,-74.07570921,4.58445836,476,S,KR 1A Este - CL 1C (476A13),KR 1A Este - CL 1C,Carrera Primera A Este Calle Primera C,L,{252FC19F-D9FF-491D-B989-9060907DF2F9},
1005826.4034,1018942.3906,6127,477A01,01,Br. La Estrellita I,KR  4B,KR 4B - CL 190A,Usaquén,-74.02498795,4.76749615,477,S,KR 4B - CL 190A (477A01),KR 4B - CL 190A,Carrera Cuarta Be Calle 190 A,B,{6D44FF22-762B-4C3C-91CB-CE58E69EDF7D},
993878.3196,1011604.6374,6128,477A05,05,Br. San Antonio Norte,AC 63,AC 63 - KR 110D Bis,Engativá,-74.13268429,4.70114011,477,M,AC 63 - KR 110D Bis (477A05),AC 63 - KR 110D Bis,Avenida Calle 63 Carrera 110 D Bis,D,{53855C05-1903-494F-89F4-8FD6A48860B6},
991664.0956,1010898.5457,6129,477A06,06,Pq. la Esperanza,KR 124A,KR 124A - CL 22L,Fontibón,-74.152641,4.694753,477,S,KR 124A - CL 22L (477A06),KR 124A - CL 22L,Carrera 124 A Calle 22 L,K,{0C423CB8-58D7-4CE8-905F-B34FB44C85DE},
995399.2923,1001612.0837,6130,477A08,08,IED Luis Carlos Galán Sarmiento,CL 1B,CL 1B - TV 52-91,Puente Aranda,-74.11897006,4.61077746,477,S,CL 1B - TV 52-91 (477A08),CL 1B - TV 52-91,Calle Primera Be Transversal 52 Bis,G,{1B209F77-F4C7-41C1-92BF-6F1F47A3B57E},
988055.1868,1000471.8199,6131,477A09,09,Br. La Amistad Bosa,TV 77M,TV 77M - CL 65G Sur,Bosa,-74.18515444,4.600459,477,S,TV 77M - CL 65G Sur (477A09),TV 77M - CL 65G Sur,Transversal 77 M Calle 65 G Sur,G,{04CB7D8A-33D2-4937-BF5C-6B57BA94B3A9},
989197.7708,997536.9812,6132,477A11,11,Br. Caracolí,Cl 76A S,CL 76A Sur - KR 74Bis,Ciudad Bolívar,-74.1748539,4.57392044,477,S,CL 76A Sur - KR 74Bis (477A11),CL 76A Sur - KR 74Bis,Calle 76 A Sur Carrera 74 Bis,H,{F6687B73-FB2E-4A2D-947F-497557131B37},
995988.9157,991117.366599999,6133,477A12,12,Br. Santa Librada,CL 74C,CL 74C Sur - KR 9B,Usme,-74.11365156,4.51587278,477,S,CL 74C Sur - KR 9B (477A12),CL 74C Sur - KR 9B,Calle 74 C Sur Carrera Novena Be,H,{24CFD8B6-3D64-4014-A94A-F2F5E85D03CF},
1000180.0335,998953.75,6134,477A13,13,Br. Atanasio Girardot,KR 2A,KR 2A - CL 2A,Santa Fe,-74.07588549,4.58673906,477,S,KR 2A - CL 2A (477A13),KR 2A - CL 2A,Carrera Segunda A Calle Segunda A,L,{71DE8F2C-072C-4E0D-8C63-72B9680EDFFB},
993908.801,1011580.5723,6135,477B05,05,Br. San Antonio Norte,AC 63,AC 63 - KR 110D,Engativá,-74.13240953,4.70092251,477,M,AC 63 - KR 110D (477B05),AC 63 - KR 110D,Avenida Calle 63 Carrera 110 D Bis,D,{AA5E2312-5EFF-486E-980E-48943718D883},
1005835.079,1018961.7116,6136,478A01,01,Br. La Estrellita I,KR  4B,KR 4B - CL 190A,Usaquén,-74.02490974,4.76767086,478,S,KR 4B - CL 190A (478A01),KR 4B - CL 190A,Carrera Cuarta Be Calle 190 A,B,{674F8842-CFDD-4B35-99AA-6BA6A22321D3},
995709.3633,1011855.6746,6137,478A05,05,Br. Álamos,AC 72,AC 72 – KR 99C,Engativá,-74.11618072,4.70341137,478,M,AC 72 – KR 99C (478A05),AC 72 – KR 99C,Avenida Calle 72 Carrera 99 C,D,{4DA71C5A-2CB6-4711-91BF-743BBA0E1040},
991193.797,1011008.8477,6138,478A06,06,Centro Empresarial El Dorado,CL 22D,CL 22D - KR 127,Fontibón,-74.15688,4.69575,478,S,CL 22D - KR 127 (478A06),CL 22D - KR 127,Calle 22 D Carrera 127,K,{65BCAD99-FD74-491A-ABF2-A049A8810B3B},
995404.4489,1001626.2483,6139,478A08,08,IED Luis Carlos Galán Sarmiento,CL 1B,CL 1B - TV 52 Bis,Puente Aranda,-74.1189236,4.61090555,478,S,CL 1B - TV 52 Bis (478A08),CL 1B - TV 52 Bis,Calle Primera Be Transversal 52 Bis,G,{9AF9F9D8-A4B2-4F75-989F-9FE60DD476F8},
988085.3953,1001799.127,6140,478A09,09,Desarrollo Argelia,Cl 60 S,CL 60 Sur - KR 81A,Bosa,-74.184884,4.612462,478,S,CL 60 Sur - KR 81A (478A09),CL 60 Sur - KR 81A,Calle 60 Sur Carrera 81 A,G,{B19020DE-266A-4050-BEEE-6F401EBC3E09},
989222.6826,997524.002900001,6141,478A11,11,Br. Caracolí,Cl 76A S,CL 76A Sur - KR 74G,Ciudad Bolívar,-74.17462939,4.5738031,478,S,CL 76A Sur - KR 74G (478A11),CL 76A Sur - KR 74G,Calle 76 A Sur Carrera 74 G,H,{4244F4E8-184E-4017-B0A5-AADA8579B1D6},
996071.0148,991005.5262,6142,478A12,12,Br. Santa Librada,KR 9A,KR 9A - CL 75 Bis Sur,Usme,-74.11291172,4.51486143,478,S,KR 9A - CL 75 Bis Sur (478A12),KR 9A - CL 75 Bis Sur,Carrera Novena A Calle 75 Bis Sur,H,{798C3E37-418E-4BC8-8BFA-04493B80C72B},
999580.0057,999255.082800001,6143,478A13,13,Br. Las Cruces,Cl 2,CL 2 - KR 8,Santa Fe,-74.08129284,4.58946404,478,S,CL 2 - KR 8 (478A13),CL 2 - KR 8,Calle Segunda Carrera Octava,L,{C4972EEA-C834-48B9-B03C-E584D0DAF610},
995690.9503,1011871.7857,6144,478B05,05,Br. Álamos,AC 72,AC 72 - KR 100,Engativá,-74.11634669,4.70355705,478,M,AC 72 - KR 100 (478B05),AC 72 - KR 100,Avenida Calle 72 Carrera 100,D,{9CFCB991-1760-4645-8D11-7397FBB141BB},
